rspm,no2,so2,rainfall,humidity,temperature,year,quarter,No of districts,Locations
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2014,1,3,['HARYANA_FARIDABAD' 'PUNJAB_BATHINDA' 'PUNJAB_LUDHIANA']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2014,4,5,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SIRMAUR' 'PUNJAB_BATHINDA'
  'PUNJAB_PATIALA' 'UTTARPRADESH_JHANSI']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2015,1,6,"['CHHATTISGARH_DURG' 'MADHYAPRADESH_GWALIOR' 'PUNJAB_BATHINDA'
  'UTTARPRADESH_AGRA' 'UTTARPRADESH_BULANDSHAHR' 'UTTARPRADESH_JHANSI']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2015,4,3,['PUNJAB_LUDHIANA' 'PUNJAB_RUPNAGAR' 'UTTARAKHAND_NAINITAL']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2016,1,11,"['CHANDIGARH_CHANDIGARH' 'HARYANA_BHIWANI' 'HARYANA_PANCHKULA'
  'HIMACHALPRADESH_SIRMAUR' 'HIMACHALPRADESH_SOLAN' 'PUNJAB_BATHINDA'
  'PUNJAB_JALANDHAR' 'PUNJAB_MOGA' 'PUNJAB_PATIALA' 'UTTARAKHAND_NAINITAL'
  'UTTARPRADESH_BULANDSHAHR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2016,4,3,"['HIMACHALPRADESH_SIRMAUR' 'UTTARAKHAND_NAINITAL'
  'UTTARAKHAND_RUDRAPRAYAG']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2017,1,12,"['CHANDIGARH_CHANDIGARH' 'HARYANA_BHIWANI' 'HARYANA_PANCHKULA'
  'HIMACHALPRADESH_SIRMAUR' 'HIMACHALPRADESH_SOLAN' 'PUNJAB_BATHINDA'
  'PUNJAB_MOGA' 'PUNJAB_PATIALA' 'UTTARAKHAND_NAINITAL' 'UTTARPRADESH_AGRA'
  'UTTARPRADESH_BAREILLY' 'UTTARPRADESH_BULANDSHAHR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2017,4,2,['PUNJAB_BATHINDA' 'PUNJAB_MOGA']
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2018,1,10,"['HARYANA_BHIWANI' 'HARYANA_PANCHKULA' 'HIMACHALPRADESH_SIRMAUR'
  'HIMACHALPRADESH_SOLAN' 'PUNJAB_BATHINDA' 'PUNJAB_JALANDHAR'
  'PUNJAB_MOGA' 'UTTARAKHAND_NAINITAL' 'UTTARAKHAND_RUDRAPRAYAG'
  'UTTARPRADESH_BULANDSHAHR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2019,1,5,"['HARYANA_BHIWANI' 'PUNJAB_BATHINDA' 'PUNJAB_MOGA' 'PUNJAB_SANGRUR'
  'UTTARPRADESH_AGRA']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2019,4,8,"['CHANDIGARH_CHANDIGARH' 'HARYANA_BHIWANI' 'PUNJAB_FARIDKOT'
  'PUNJAB_HOSHIARPUR' 'PUNJAB_MOGA' 'PUNJAB_PATIALA'
  'PUNJAB_SAHIBZADAAJITSINGHNAGAR' 'PUNJAB_SANGRUR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2020,1,10,"['HARYANA_BHIWANI' 'HARYANA_PANCHKULA' 'HIMACHALPRADESH_SIRMAUR'
  'PUNJAB_BATHINDA' 'PUNJAB_MOGA' 'PUNJAB_PATIALA'
  'PUNJAB_SAHIBZADAAJITSINGHNAGAR' 'PUNJAB_SANGRUR' 'UTTARAKHAND_DEHRADUN'
  'UTTARAKHAND_NAINITAL']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2020,4,8,"['CHANDIGARH_CHANDIGARH' 'HARYANA_BHIWANI' 'PUNJAB_BATHINDA'
  'PUNJAB_FARIDKOT' 'PUNJAB_MOGA' 'PUNJAB_PATIALA'
  'PUNJAB_SAHIBZADAAJITSINGHNAGAR' 'PUNJAB_SANGRUR']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2021,1,11,"['HARYANA_BHIWANI' 'HARYANA_PANCHKULA' 'HIMACHALPRADESH_SIRMAUR'
  'PUNJAB_BATHINDA' 'PUNJAB_JALANDHAR' 'PUNJAB_MOGA' 'PUNJAB_PATIALA'
  'PUNJAB_SAHIBZADAAJITSINGHNAGAR' 'PUNJAB_SANGRUR' 'UTTARAKHAND_NAINITAL'
  'UTTARPRADESH_AGRA']"
rspm_moderate,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2021,2,1,['UTTARAKHAND_DEHRADUN']
